#==================================================================
# OMERE 5.6.1.30196 - Orbit
#
# File: C:\Users\giorg\Documents\OMERE 5.6\orbit.dat
# Creation: 13/01/2025 03:11:53
#==================================================================

# Number of segment(s) in the mission: 1

#*************************************************************
# Segment : 1/1
#*************************************************************
# Name :                                AEOLUS Orbit
# Duration :                            5 year(s)
# Perigee :                             320.000000km
# Apogee :                              320.000000km
# Inclination :                         97.000°
# Argument of Perigee :                 0.000°
# Longitude of Ascending node :         0.000°
# (with respect to Greenwich)
# True Anomaly :                        0.000°
# Period :                              5455.596s
# Number of orbits :                    100
# Number of points per orbit :          100


#      altitude      latitude     longitude         time
#          (km)           (°)           (°)          (s)
    320.145533         4.736        63.254       71093.5
    320.445339         8.304        62.583       71148.1
    320.903588        11.872        61.903       71202.7
    321.513104        15.439        61.212       71257.2
    322.264343        19.005        60.504       71311.8
    323.145533        22.570        59.775       71366.3
    324.142866        26.133        59.020       71420.9
    325.240703        29.694        58.231       71475.5
    326.421823        33.252        57.401       71530.0
    327.667687        36.807        56.520       71584.6
    328.958729        40.359        55.575       71639.1
    330.274663        43.905        54.550       71693.7
    331.594798        47.445        53.424       71748.3
    332.898364        50.978        52.168       71802.8
    334.164839        54.499        50.743       71857.4
    335.374273        58.007        49.092       71911.9
    336.507605        61.495        47.133       71966.5
    337.546961        64.956        44.738       72021.1
    338.475943        68.376        41.703       72075.6
    339.279886        71.732        37.682       72130.2
    339.946095        74.981        32.056       72184.8
    340.464044        78.037        23.649       72239.3
    340.825550        80.705        10.226       72293.9
    341.024900        82.557       -11.427       72348.4
    341.058941        82.921       -40.256       72403.0
    340.927137        81.599       -65.599       72457.6
    340.631570        79.195       -82.030       72512.1
    340.176912        76.265       -92.144       72566.7
    339.570348        73.081       -98.721       72621.2
    338.821461        69.761      -103.302       72675.8
    337.942080        66.364      -106.688       72730.4
    336.946088        62.918      -109.315       72784.9
    335.849203        59.440      -111.434       72839.5
    334.668727        55.939      -113.200       72894.1
    333.423270        52.423      -114.709       72948.6
    332.132455        48.895      -116.029       73003.2
    330.816608        45.358      -117.204       73057.7
    329.496437        41.813      -118.267       73112.3
    328.192705        38.264      -119.243       73166.9
    326.925903        34.710      -120.148       73221.4
    325.715930        31.153      -120.998       73276.0
    324.581782        27.593      -121.803       73330.5
    323.541254        24.031      -122.571       73385.1
    322.610664        20.467      -123.310       73439.7
    321.804600        16.901      -124.026       73494.2
    321.135691        13.335      -124.723       73548.8
    320.614415         9.767      -125.407       73603.4
    320.248935         6.199      -126.082       73657.9
    320.044972         2.631      -126.750       73712.5
    320.005720        -0.938      -127.416       73767.0
    320.131793        -4.506      -128.082       73821.6
    320.421217        -8.075      -128.753       73876.2
    320.869462       -11.642      -129.432       73930.7
    321.469508       -15.209      -130.123       73985.3
    322.211960       -18.775      -130.829       74039.8
    323.085184       -22.340      -131.556       74094.4
    324.075497       -25.903      -132.310       74149.0
    325.167371       -29.465      -133.096       74203.5
    326.343677       -33.023      -133.924       74258.1
    327.585955       -36.579      -134.801       74312.7
    328.874695       -40.130      -135.742       74367.2
    330.189648       -43.677      -136.761       74421.8
    331.510138       -47.218      -137.880       74476.3
    332.815392       -50.751      -139.126       74530.9
    334.084862       -54.273      -140.538       74585.5
    335.298551       -57.782      -142.172       74640.0
    336.437332       -61.271      -144.109       74694.6
    337.483245       -64.734      -146.471       74749.1
    338.419789       -68.157      -149.457       74803.7
    339.232182       -71.518      -153.399       74858.3
    339.907593       -74.777      -158.894       74912.8
    340.435353       -77.849      -167.070       74967.4
    340.807124       -80.552       179.924       75022.0
    341.017029       -82.476       158.870       75076.5
    341.061751       -82.951       130.244       75131.1
    340.940582       -81.725       104.377       75185.6
    340.655438       -79.370        87.421       75240.2
    340.210826       -76.463        76.999       75294.8
    339.613772       -73.290        70.251       75349.3
    338.873710       -69.978        65.571       75403.9
    338.002328       -66.584        62.124       75458.4
    337.013384       -63.141        59.457       75513.0
    335.922485       -59.664        57.311       75567.6
    334.746839       -56.165        55.526       75622.1
    333.504981       -52.649        54.003       75676.7
    332.216479       -49.122        52.672       75731.2
    330.901622       -45.585        51.489       75785.8
    329.581103       -42.042        50.419       75840.4
    328.275692       -38.492        49.439       75894.9
    327.005907       -34.939        48.529       75949.5
    325.791694       -31.382        47.676       76004.1
    324.652118       -27.822        46.869       76058.6
    323.605058       -24.260        46.098       76113.2
    322.666936       -20.696        45.357       76167.7
    321.852458       -17.131        44.640       76222.3
    321.174385       -13.564        43.942       76276.9
    320.643339        -9.997        43.257       76331.4
    320.267636        -6.429        42.582       76386.0
    320.053158        -2.860        41.914       76440.5
    320.003262         0.708        41.248       76495.1
    320.118730         4.277        40.582       76549.7
    320.397753         7.845        39.911       76604.2
    320.835965        11.413        39.233       76658.8
    321.426503        14.980        38.543       76713.4
    322.160119        18.546        37.838       76767.9
    323.025321        22.111        37.112       76822.5
    324.008549        25.674        36.360       76877.0
    325.094388        29.236        35.576       76931.6
    326.265805        32.794        34.752       76986.2
    327.504416        36.350        33.878       77040.7
    328.790770        39.902        32.942       77095.3
    330.104655        43.449        31.928       77149.8
    331.425415        46.990        30.817       77204.4
    332.732272        50.524        29.580       77259.0
    334.004654        54.047        28.179       77313.5
    335.222519        57.556        26.561       77368.1
    336.366673        61.047        24.648       77422.7
    337.419075        64.512        22.318       77477.2
    338.363121        67.939        19.381       77531.8
    339.183909        71.305        15.514       77586.3
    339.868479        74.572        10.145       77640.9
    340.406016        77.660         2.192       77695.5
    340.788027        80.395       -10.411       77750.0
    341.008474        82.388       -30.869       77804.6
    341.063873        82.975       -59.242       77859.1
    340.953348        81.845       -85.606       77913.7
    340.678646        79.542      -103.102       77968.3
    340.244109        76.660      -113.844       78022.8
    339.656604        73.500      -120.768       78077.4
    338.925414        70.194      -125.550       78132.0
    338.062088        66.804      -129.060       78186.5
    337.080256        63.363      -131.768       78241.1
    335.995415        59.889      -133.943       78295.6
    334.824677        56.391      -135.747       78350.2
    333.586500        52.876      -137.285       78404.8
    332.300394        49.349      -138.626       78459.3
    330.986612        45.813      -139.818       78513.9
    329.665832        42.270      -140.894       78568.4
    328.358826        38.721      -141.880       78623.0
    327.086141        35.168      -142.794       78677.6
    325.867768        31.611      -143.650       78732.1
    324.722837        28.051      -144.460       78786.7
    323.669314        24.489      -145.233       78841.2
    322.723721        20.925      -145.975       78895.8
    321.900881        17.360      -146.693       78950.4
    321.213688        13.794      -147.393       79004.9
    320.672907        10.226      -148.079       79059.5
    320.287006         6.658      -148.754       79114.1
    320.062026         3.090      -149.423       79168.6
    320.001490        -0.479      -150.088       79223.2
    320.106345        -4.047      -150.755       79277.7
    320.374950        -7.616      -151.425       79332.3
    320.803099       -11.183      -152.103       79386.9
    321.384090       -14.750      -152.791       79441.4
    322.108824       -18.317      -153.496       79496.0
    322.965946       -21.882      -154.220       79550.5
    323.942026       -25.445      -154.970       79605.1
    325.021760       -29.006      -155.752       79659.7
    326.188211       -32.565      -156.573       79714.2
    327.423074       -36.121      -157.444       79768.8
    328.706958       -39.674      -158.375       79823.4
    330.019691       -43.221      -159.383       79877.9
    331.340635       -46.763      -160.488       79932.5
    332.649009       -50.296      -161.716       79987.0
    333.924219       -53.820      -163.104       80041.6
    335.146180       -57.331      -164.706       80096.2
    336.295634       -60.823      -166.597       80150.7
    337.354456       -64.290      -168.896       80205.3
    338.305942       -67.720      -171.786       80259.8
    339.135072       -71.091      -175.580       80314.4
    339.828756       -74.366       179.173       80369.0
    340.376034       -77.469       171.436       80423.5
    340.768260       -80.236       159.221       80478.1
    340.999235       -82.295       139.354       80532.7
    341.065307       -82.990       111.282       80587.2
    340.965433       -81.961        84.450       80641.8
    340.701191       -79.713        66.403       80696.3
    340.276757       -76.856        55.329       80750.9
    339.698840       -73.708        48.221       80805.5
    338.976570       -70.409        43.333       80860.0
    338.121357       -67.024        39.758       80914.6
    337.146702       -63.586        37.008       80969.1
    336.067990       -60.113        34.805       81023.7
    334.902235       -56.616        32.981       81078.3
    333.667819       -53.103        31.428       81132.8
    332.384194       -49.576        30.076       81187.4
    331.071573       -46.041        28.876       81242.0
    329.750617       -42.498        27.793       81296.5
    328.442103       -38.949        26.802       81351.1
    327.166600       -35.396        25.884       81405.6
    325.944146       -31.840        25.024       81460.2
    324.793936       -28.280        24.212       81514.8
    323.734017       -24.718        23.437       81569.3
    322.781014       -21.155        22.693       81623.9
    321.949866       -17.589        21.973       81678.4
    321.253599       -14.023        21.272       81733.0
    320.703117       -10.456        20.586       81787.6
    320.307043        -6.888        19.910       81842.1
    320.071576        -3.319        19.241       81896.7
    320.000404         0.249        18.575       81951.3
    320.094639         3.818        17.909       82005.8
    320.352808         7.386        17.239       82060.4
    320.770868        10.954        16.562       82114.9
    321.342274        14.521        15.874       82169.5
    322.058077        18.087        15.171       82224.1
    322.907065        21.652        14.448       82278.6
    323.875933        25.216        13.700       82333.2
    324.949491        28.777        12.920       82387.7
    326.110901        32.337        12.102       82442.3
    327.341936        35.893        11.235       82496.9
    328.623267        39.445        10.308       82551.4
    329.934761        42.993         9.305       82606.0
    331.255802        46.535         8.207       82660.5
    332.565609        50.069         6.988       82715.1
    333.843565        53.594         5.612       82769.7
    335.069542        57.106         4.026       82824.2
    336.224220        60.599         2.156       82878.8
    337.289393        64.068        -0.112       82933.4
    338.248255        67.500        -2.956       82987.9
    339.085674        70.876        -6.679       83042.5
    339.788426        74.159       -11.808       83097.0
    340.345410        77.277       -19.339       83151.6
    340.747825        80.074       -31.180       83206.2
    340.989312        82.195       -50.462       83260.7
    341.066054        82.999       -78.187       83315.3
    340.976837        82.072      -105.453       83369.8
    340.723072        79.881      -124.063       83424.4
    340.308769        77.051      -135.483       83479.0
    339.740478        73.916      -142.781       83533.5
    339.027176        70.625      -147.778       83588.1
    338.180131        67.244      -151.420       83642.7
    337.212717        63.808      -154.213       83697.2
    336.140203        60.337      -156.445       83751.8
    334.979509        56.842      -158.290       83806.3
    333.748935        53.329      -159.858       83860.9
    332.467874        49.804      -161.221       83915.5
    331.156500        46.269      -162.430       83970.0
    329.835454        42.726      -163.520       84024.6
    328.525516        39.178      -164.516       84079.1
    327.247279        35.625      -165.438       84133.7
    326.020824        32.069      -166.301       84188.3
    324.865408        28.509      -167.117       84242.8
    323.799163        24.948      -167.894       84297.4
    322.838812        21.384      -168.639       84352.0
    321.999411        17.819      -169.361       84406.5
    321.294113        14.253      -170.063       84461.1
    320.733967        10.685      -170.750       84515.6
    320.327745         7.117      -171.426       84570.2
    320.081807         3.549      -172.095       84624.8
    320.000002        -0.020      -172.761       84679.3
    320.083612        -3.588      -173.427       84733.9
    320.331328        -7.156      -174.097       84788.4
    320.739271       -10.724      -174.773       84843.0
    321.301055       -14.292      -175.461       84897.6
    322.007883       -17.858      -176.163       84952.1
    322.848681       -21.423      -176.884       85006.7
    323.810274       -24.987      -177.630       85061.3
    324.877587       -28.548      -178.408       85115.8
    326.033879       -32.108      -179.223       85170.4
    327.261006       -35.664       179.913       85224.9
    328.539700       -39.217       178.990       85279.5
    329.849871       -42.765       177.993       85334.1
    331.170923       -46.307       176.902       85388.6
    332.482077       -49.842       175.692       85443.2
    333.762694       -53.368       174.327       85497.7
    334.992607       -56.880       172.756       85552.3
    336.152434       -60.375       170.907       85606.9
    337.223888       -63.846       168.670       85661.4
    338.190066       -67.281       165.870       85716.0
    339.035718       -70.661       162.217       85770.5
    339.747491       -73.952       157.201       85825.1
    340.314144       -77.084       149.869       85879.7
    340.726723       -79.909       138.389       85934.2
    340.978706       -82.091       119.682       85988.8
    341.066112       -82.999        92.346       86043.4
    340.987558       -82.178        64.685       86097.9
    340.744287       -80.046        45.501       86152.5
    340.340143       -77.244        33.722       86207.0
    339.781514       -74.124        26.226       86261.6
    339.077227       -70.840        21.116       86316.2
    338.238406       -67.463        17.406       86370.7
    337.278296       -64.031        14.569       86425.3
    336.212051       -60.561        12.306       86479.8
    335.056493       -57.067        10.440       86534.4
    333.829842       -53.556         8.857       86589.0
    332.551428       -50.031         7.482       86643.5
    331.241386       -46.496         6.264       86698.1
    329.920337       -42.954         5.168       86752.7
    328.609061       -39.406         4.166       86807.2
    327.328173       -35.854         3.240       86861.8
    326.097796       -32.298         2.373       86916.3
    324.937250       -28.738         1.555       86970.9
    323.864748       -25.177         0.776       87025.5
    322.897112       -21.613         0.028       87080.0
    322.049511       -18.048        -0.694       87134.6
    321.335229       -14.482        -1.397       87189.1
    320.765455       -10.915        -2.085       87243.7
    320.349112        -7.347        -2.762       87298.3
    320.092718        -3.779        -3.432       87352.8
    320.000287        -0.210        -4.098       87407.4
    320.073266         3.358        -4.764       87462.0
    320.310513         6.927        -5.433       87516.5
    320.708313        10.495        -6.109       87571.1
    321.260439        14.062        -6.795       87625.6
    321.958243        17.628        -7.496       87680.2
    322.790797        21.194        -8.216       87734.8
    323.745053        24.757        -8.961       87789.3
    324.806051        28.319        -9.736       87843.9
    325.957151        31.879       -10.549       87898.4
    327.180290        35.435       -11.409       87953.0
    328.456264        38.988       -12.328       88007.6
    329.765025        42.537       -13.320       88062.1
    331.086003        46.080       -14.404       88116.7
    332.398418        49.615       -15.605       88171.3
    333.681614        53.141       -16.959       88225.8
    334.915383        56.655       -18.515       88280.4
    336.080283        60.151       -20.343       88334.9
    337.157947        63.624       -22.551       88389.5
    338.131376        67.061       -25.308       88444.1
    338.985206        70.446       -28.894       88498.6
    339.705956        73.744       -33.800       88553.2
    340.282240        76.889       -40.940       88607.7
    340.704955        79.741       -52.072       88662.3
    340.967418        81.981       -70.214       88716.9
    341.065482        82.992       -97.122       88771.4
    340.997597        82.278      -125.138       88826.0
    340.764836        80.209      -144.905       88880.6
    340.370877        77.437      -157.055       88935.1
    339.821947        74.331      -164.757       88989.7
    339.126720        71.054      -169.984       89044.2
    338.296178        67.682      -173.765       89098.8
    337.343435        64.253      -176.648       89153.4
    336.283529        60.785      -178.941       89207.9
    335.133182        57.293       179.171       89262.5
    333.910533        53.782       177.572       89317.0
    332.634851        50.258       176.186       89371.6
    331.326227        46.724       174.959       89426.2
    330.005261        43.182       173.856       89480.7
    328.692732        39.635       172.849       89535.3
    327.409276        36.083       171.918       89589.8
    326.175058        32.527       171.048       89644.4
    325.009457        28.968       170.227       89699.0
    323.930768        25.406       169.446       89753.5
    322.955909        21.843       168.696       89808.1
    322.100164        18.278       167.972       89862.7
    321.376944        14.711       167.268       89917.2
    320.797579        11.144       166.580       89971.8
    320.371142         7.577       165.902       90026.3
    320.104309         4.008       165.232       90080.9
    320.001257         0.440       164.566       90135.5
    320.063601        -3.129       163.900       90190.0
    320.290363        -6.697       163.231       90244.6
    320.677994       -10.265       162.556       90299.1
    321.220425       -13.833       161.870       90353.7
    321.909163       -17.399       161.170       90408.3
    322.733418       -20.964       160.451       90462.8
    323.680274       -24.528       159.709       90517.4
    324.734889       -28.090       158.936       90572.0
    325.880722       -31.650       158.125       90626.5
    327.099793       -35.207       157.269       90681.1
    328.372963       -38.760       156.354       90735.6
    329.680231       -42.309       155.367       90790.2
    331.001047       -45.852       154.290       90844.8
    332.314638       -49.388       153.097       90899.3
    333.600328       -52.915       151.754       90953.9
    334.837872       -56.429       150.213       91008.4
    336.007769       -59.927       148.406       91063.0
    337.091574       -63.401       146.226       91117.6
    338.072191       -66.842       143.511       91172.1
    338.934143       -70.230       139.991       91226.7
    339.663821       -73.535       135.191       91281.3
    340.249700       -76.694       128.236       91335.8
    340.682522       -79.571       117.438       91390.4
    340.955449       -81.866        99.850       91444.9
    341.064165       -82.978        73.404       91499.5
    341.006953       -82.373        45.078       91554.1
    340.784716       -80.369        24.721       91608.6
    340.400968       -77.627        12.185       91663.2
    339.861774       -74.537         4.270       91717.7
    339.175653       -71.268        -1.078       91772.3
    338.353444       -67.901        -4.933       91826.9
    337.408130       -64.475        -7.862       91881.4
    336.354632       -61.009       -10.186       91936.0
    335.209572       -57.518       -12.096       91990.6
    333.991005       -54.008       -13.711       92045.1
    332.718138       -50.485       -15.109       92099.7
    331.411017       -46.952       -16.345       92154.2
    330.090220       -43.410       -17.455       92208.8
    328.776524       -39.863       -18.468       92263.4
    327.490583       -36.311       -19.403       92317.9
    326.252604       -32.755       -20.277       92372.5
    325.082025       -29.197       -21.100       92427.0
    323.997218       -25.635       -21.884       92481.6
    323.015200       -22.072       -22.635       92536.2
    322.151367       -18.507       -23.361       92590.7
    321.419256       -14.941       -24.066       92645.3
    320.830337       -11.374       -24.756       92699.9
    320.393833        -7.806       -25.434       92754.4
    320.116578        -4.238       -26.104       92809.0
    320.002913        -0.669       -26.771       92863.5
    320.054617         2.899       -27.437       92918.1
    320.270880         6.468       -28.105       92972.7
    320.648317        10.036       -28.780       93027.2
    321.181019        13.603       -29.465       93081.8
    321.860644        17.170       -30.164       93136.3
    322.676547        20.735       -30.881       93190.9
    323.615942        24.299       -31.622       93245.5
    324.664105        27.861       -32.393       93300.0
    325.804596        31.421       -33.200       93354.6
    327.019521        34.978       -34.054       93409.1
    328.289804        38.531       -34.964       93463.7
    329.595492        42.080       -35.946       93518.3
    330.916062        45.624       -37.017       93572.8
    332.230742        49.161       -38.202       93627.4
    333.518843        52.688       -39.534       93682.0
    334.760082        56.203       -41.060       93736.5
    335.934899        59.702       -42.848       93791.1
    337.024774        63.178       -44.999       93845.6
    338.012514        66.622       -47.673       93900.2
    338.882532        70.014       -51.130       93954.8
    339.621090        73.326       -55.827       94009.3
    340.216525        76.497       -62.604       94063.9
    340.659427        79.399       -73.080       94118.4
    340.942799        81.746       -90.127       94173.0
    341.062160        82.956      -116.080       94227.6
    341.015624        82.461      -144.667       94282.1
    340.803927        80.526      -165.620       94336.7
    340.430415        77.817      -178.556       94391.3
    339.900991        74.742       173.307       94445.8
    339.224021        71.482       167.833       94500.4
    338.410199        68.120       163.904       94554.9
    337.472376        64.696       160.926       94609.5
    336.425355        61.233       158.570       94664.1
    335.285657        57.743       156.638       94718.6
    334.071252        54.235       155.006       94773.2
    332.801282        50.712       153.596       94827.7
    331.495750        47.179       152.351       94882.3
    330.175208        43.638       151.234       94936.9
    328.860430        40.092       150.215       94991.4
    327.572089        36.540       149.276       95046.0
    326.330429        32.984       148.399       95100.6
    325.154948        29.426       147.572       95155.1
    324.064094        25.864       146.786       95209.7
    323.074981        22.301       146.033       95264.2
    322.203115        18.737       145.306       95318.8
    321.462161        15.170       144.599       95373.4
    320.863727        11.603       143.909       95427.9
    320.417185         8.036       143.230       95482.5
    320.129526         4.467       142.559       95537.0
    320.005254         0.899       141.893       95591.6
    320.046315        -2.670       141.227       95646.2
    320.252065        -6.238       140.559       95700.7
    320.619283        -9.806       139.884       95755.3
    321.142221       -13.374       139.200       95809.9
    321.812690       -16.940       138.503       95864.4
    322.620187       -20.506       137.787       95919.0
    323.552061       -24.070       137.047       95973.5
    324.593703       -27.632       136.279       96028.1
    325.728779       -31.192       135.474       96082.7
    326.939477       -34.749       134.623       96137.2
    328.206792       -38.303       133.717       96191.8
    329.510815       -41.852       132.740       96246.3
    330.831051       -45.396       131.676       96300.9
    332.146736       -48.933       130.499       96355.5
    333.437164       -52.461       129.178       96410.0
    334.682016       -55.978       127.666       96464.6
    335.861677       -59.478       125.898       96519.1
    336.957550       -62.956       123.774       96573.7
    337.952349       -66.401       121.140       96628.3
    338.830375       -69.798       117.744       96682.8
    339.577766       -73.116       113.147       96737.4
    340.182717       -76.299       106.541       96792.0
    340.635671       -79.225        96.375       96846.5
    340.929469       -81.621        79.856       96901.1
    341.059467       -82.926        54.422       96955.6
    341.023611       -82.544        25.624       97010.2
    340.822468       -80.679         4.073       97064.8
    340.459216       -78.005        -9.278       97119.3
    339.939597       -74.947       -17.645       97173.9
    339.271822       -71.696       -23.249       97228.4
    338.466440       -68.339       -27.256       97283.0
    337.536170       -64.918       -30.283       97337.6
    336.495695       -61.457       -32.672       97392.1
    335.361432       -57.968       -34.628       97446.7
    334.151269       -54.461       -36.275       97501.3
    332.884279       -50.939       -37.698       97555.8
    331.580421       -47.407       -38.952       97610.4
    330.260220       -43.866       -40.077       97664.9
    328.944446       -40.320       -41.101       97719.5
    327.653789       -36.769       -42.045       97774.1
    326.408529       -33.213       -42.926       97828.6
    325.228221       -29.655       -43.755       97883.2
    324.131392       -26.094       -44.544       97937.7
    323.135247       -22.531       -45.299       97992.3
    322.255406       -18.966       -46.027       98046.9
    321.505657       -15.400       -46.735       98101.4
    320.897746       -11.833       -47.426       98156.0
    320.441195        -8.265       -48.106       98210.6
    320.143151        -4.697       -48.777       98265.1
    320.008281        -1.129       -49.444       98319.7
    320.038695         2.440       -50.109       98374.2
    320.233919         6.008       -50.777       98428.8
    320.590895         9.577       -51.451       98483.4
    321.104035        13.144       -52.135       98537.9
    321.765304        16.711       -52.831       98592.5
    322.564344        20.276       -53.546       98647.0
    323.488635        23.840       -54.284       98701.6
    324.523689        27.403       -55.050       98756.2
    325.653275        30.963       -55.853       98810.7
    326.859669        34.520       -56.700       98865.3
    328.123932        38.074       -57.602       98919.9
    329.426206        41.624       -58.574       98974.4
    330.746023        45.168       -59.632       99029.0
    332.062626        48.706       -60.800       99083.5
    333.355296        52.235       -62.111       99138.1
    334.603680        55.752       -63.609       99192.7
    335.788107        59.253       -65.358       99247.2
    336.889907        62.733       -67.455       99301.8
    337.891700        66.181       -70.050       99356.3
    338.777678        69.581       -73.387       99410.9
    339.533852        72.906       -77.888       99465.5
    340.148280        76.100       -84.329       99520.0
    340.611255        79.049       -94.196       99574.6
    340.915460        81.492      -110.201       99629.2
    341.056087        82.889      -135.093       99683.7
    341.030913        82.620      -164.049       99738.3
    340.840336        80.830       173.801       99792.8
    340.487368        78.192       160.020       99847.4
    339.977589        75.151       151.414       99902.0
    339.319053        71.909       145.676       99956.5
    338.522164        68.557       141.588      100011.1
    337.599507        65.140       138.511      100065.6
    336.565645        61.681       136.088      100120.2
    335.436893        58.194       134.109      100174.8
    334.231050        54.687       132.444      100229.3
    332.967124        51.166       131.009      100283.9
    331.665024        47.634       129.745      100338.4
    330.345250        44.094       128.613      100393.0
    329.028566        40.548       127.583      100447.6
    327.735677        36.997       126.634      100502.1
    326.486898        33.442       125.750      100556.7
    325.301841        29.884       124.917      100611.3
    324.199108        26.323       124.127      100665.8
    323.195996        22.760       123.370      100720.4
    322.308236        19.195       122.639      100774.9
    321.549740        15.629       121.931      100829.5
    320.932393        12.062       121.238      100884.1
    320.465862         8.495       120.558      100938.6
    320.157452         4.927       119.887      100993.2
    320.011992         1.358       119.220      101047.7
    320.031759        -2.210       118.554      101102.3
    320.216444        -5.779       117.886      101156.9
    320.563154        -9.347       117.213      101211.4
    321.066463       -12.915       116.531      101266.0
    321.718489       -16.481       115.835      101320.6
    322.509019       -20.047       115.121      101375.1
    323.425668       -23.611       114.385      101429.7
    324.454067       -27.174       113.621      101484.2
    325.578089       -30.734       112.821      101538.8
    326.780100       -34.291       111.977      101593.4
    328.041229       -37.846       111.079      101647.9
    329.341669       -41.396       110.112      101702.5
    330.660980       -44.941       109.060      101757.0
    331.978416       -48.479       107.900      101811.6
    333.273244       -52.008       106.599      101866.2
    334.525078       -55.526       105.115      101920.7
    335.714195       -59.028       103.384      101975.3
    336.821849       -62.510       101.313      102029.9
    337.830571       -65.960        98.757      102084.4
    338.724442       -69.365        95.478      102139.0
    339.489350       -72.695        91.070      102193.5
    340.113215       -75.900        84.789      102248.1
    340.586181       -78.870        75.208      102302.7
    340.900773       -81.359        59.703      102357.2
    341.052019       -82.845        35.372      102411.8
    341.037529       -82.690         6.312      102466.3
    340.857531       -80.978       -16.436      102520.9
    340.514871       -78.377       -30.661      102575.5
    340.014964       -75.354       -39.516      102630.0
    339.365710       -72.121       -45.393      102684.6
    338.577367       -68.775       -49.563      102739.2
    337.662383       -65.361       -52.693      102793.7
    336.635202       -61.904       -55.151      102848.3
    335.512034       -58.419       -57.154      102902.8
    334.310590       -54.913       -58.836      102957.4
    333.049810       -51.393       -60.284      103012.0
    331.749554       -47.862       -61.557      103066.5
    330.430293       -44.322       -62.697      103121.1
    329.112785       -40.777       -63.733      103175.6
    327.817747       -37.226       -64.686      103230.2
    326.565531       -33.671       -65.574      103284.8
    325.375802       -30.113       -66.410      103339.3
    324.267236       -26.552       -67.203      103393.9
    323.257223       -22.989       -67.962      103448.4
    322.361602       -19.425       -68.694      103503.0
    321.594409       -15.859       -69.404      103557.6
    320.967664       -12.292       -70.097      103612.1
    320.491184        -8.724       -70.777      103666.7
    320.172429        -5.156       -71.450      103721.3
    320.016389        -1.588       -72.117      103775.8
    320.025507         1.981       -72.782      103830.4
    320.199640         5.549       -73.450      103884.9
    320.536062         9.117       -74.123      103939.5
    321.029507        12.685       -74.804      103994.1
    321.672248        16.252       -75.499      104048.6
    322.454217        19.817       -76.211      104103.2
    323.363164        23.382       -76.946      104157.7
    324.384841        26.944       -77.708      104212.3
    325.503227        30.505       -78.506      104266.9
    326.700776        34.063       -79.346      104321.4
    327.958690        37.617       -80.241      104376.0
    329.257210        41.168       -81.203      104430.6
    330.575930        44.713       -82.249      104485.1
    331.894112        48.251       -83.401      104539.7
    333.191015        51.781       -84.692      104594.2
    334.446217        55.300       -86.162      104648.8
    335.639945        58.804       -87.875      104703.4
    336.753382        62.287       -89.920      104757.9
    337.768966        65.739       -92.440      104812.5
    338.670671        69.147       -95.662      104867.0
    339.444263        72.484       -99.980      104921.6
    340.077525        75.699      -106.108      104976.2
    340.560450        78.690      -115.412      105030.7
    340.885409        81.221      -130.432      105085.3
    341.047265        82.794      -154.188      105139.9
    341.043459        82.753       176.704      105194.4
    340.874052        81.121       153.365      105249.0
    340.541722        78.560       138.680      105303.5
    340.051720        75.556       129.566      105358.1
    339.411791        72.333       123.545      105412.7
    338.632044        68.992       119.289      105467.2
    337.724793        65.582       116.106      105521.8
    336.704362        62.127       113.612      105576.3
    335.586850        58.644       111.585      105630.9
    334.389885        55.139       109.885      105685.5
    333.132333        51.620       108.424      105740.0
    331.834005        48.089       107.141      105794.6
    330.515344        44.550       105.994      105849.2
    329.197097        41.005       104.952      105903.7
    327.899995        37.454       103.994      105958.3
    326.644423        33.900       103.102      106012.8
    325.450099        30.342       102.263      106067.4
    324.335772        26.781       101.468      106122.0
    323.318925        23.218       100.707      106176.5
    322.415500        19.654        99.974      106231.1
    321.639660        16.088        99.262      106285.6
    321.003559        12.521        98.568      106340.2
    320.517160         8.954        97.887      106394.8
    320.188080         5.386        97.214      106449.3
    320.021470         1.817        96.547      106503.9
    320.019938        -1.751        95.881      106558.5
    320.183509        -5.320        95.214      106613.0
    320.509621        -8.888        94.542      106667.6
    320.993170       -12.455        93.860      106722.1
    321.626584       -16.022        93.167      106776.7
    322.399942       -19.588        92.456      106831.3
    323.301128       -23.153        91.723      106885.8
    324.316016       -26.715        90.962      106940.4
    325.428693       -30.276        90.168      106994.9
    326.621703       -33.834        89.330      107049.5
    327.876319       -37.389        88.439      107104.1
    329.172835       -40.939        87.482      107158.6
    330.490878       -44.485        86.442      107213.2
    331.809721       -48.024        85.297      107267.7
    333.108612       -51.554        84.017      107322.3
    334.367101       -55.074        82.560      107376.9
    335.565363       -58.579        80.865      107431.4
    336.684509       -62.063        78.845      107486.0
    337.706889       -65.518        76.361      107540.6
    338.616370       -68.930        73.194      107595.1
    339.398595       -72.272        68.963      107649.7
    340.041211       -75.498        62.984      107704.2
    340.534065       -78.508        53.945      107758.8
    340.869369       -81.080        39.394      107813.4
    341.041824       -82.736        16.225      107867.9
    341.048703       -82.809       -12.875      107922.5
    340.889898       -81.261       -36.798      107977.0
    340.567919       -78.742       -51.956      108031.6
    340.087855       -75.757       -61.339      108086.2
    339.457292       -72.545       -67.510      108140.7
    338.686193       -69.210       -71.854      108195.3
    337.786735       -65.803       -75.092      108249.9
    336.773118       -62.351       -77.622      108304.4
